Congruent,Incongruent,,,,,,,,d,d-bar,平方偏差,差异的样本标准偏差Sd,标准误差SE,t-statistic
12.079,19.278,,1.972125,2.737916667,,3.889277016,7.496187674,,7.199,7.964791667,0.586436877,4.86482691,0.993028635,8.020706944
16.791,18.741,,2.739875,3.274916667,,7.506915016,10.72507917,,1.95,,36.17771879,,,
9.564,21.214,,4.487125,0.801916667,,20.13429077,0.64307034,,11.65,,13.58076046,,,
8.63,15.687,,5.421125,6.328916667,,29.38859627,40.05518617,,7.057,,0.82408571,,,
14.669,22.803,,0.617875,0.787083333,,0.381769516,0.619500174,,8.134,,0.02863146,,,
12.238,20.878,,1.813125,1.137916667,,3.287422266,1.29485434,,8.64,,0.455906293,,,
14.692,24.572,,0.640875,2.556083333,,0.410720766,6.533562007,,9.88,,3.66802296,,,
8.987,17.394,,5.064125,4.621916667,,25.64536202,21.36211367,,8.407,,0.19554821,,,
9.401,20.762,,4.650125,1.253916667,,21.62366252,1.572307007,,11.361,,11.53423104,,,
14.48,26.282,,0.428875,4.266083333,,0.183933766,18.19946701,,11.802,,14.72416779,,,
22.328,24.524,,8.276875,2.508083333,,68.50665977,6.290482007,,2.196,,33.27895729,,,
15.298,18.644,,1.246875,3.371916667,,1.554697266,11.36982201,,3.346,,21.33323646,,,
15.073,17.51,,1.021875,4.505916667,,1.044228516,20.30328501,,2.437,,30.55648071,,,
16.929,20.33,,2.877875,1.685916667,,8.282164516,2.842315007,,3.401,,20.82819438,,,
18.2,35.255,,4.148875,13.23908333,,17.21316377,175.2733275,,17.055,,82.63188754,,,
12.13,22.158,,1.921125,0.142083333,,3.690721266,0.020187674,,10.028,,4.256828627,,,
18.495,25.139,,4.443875,3.123083333,,19.74802502,9.753649507,,6.644,,1.744490627,,,
10.639,20.429,,3.412125,1.586916667,,11.64259702,2.518304507,,9.79,,3.33138546,,,
11.344,17.425,,2.707125,4.590916667,,7.328525766,21.07651584,,6.081,,3.548671043,,,
12.369,34.288,,1.682125,12.27208333,,2.829544516,150.6040293,,21.919,,194.7199302,,,
12.944,23.894,,1.107125,1.878083333,,1.225725766,3.527197007,,10.95,,8.911468793,,,
14.233,17.96,,0.181875,4.055916667,,0.033078516,16.45046001,,3.727,,17.95887821,,,
19.71,22.058,,5.658875,0.042083333,,32.02286627,0.001771007,,2.348,,31.54834863,,,
16.004,21.157,,1.952875,0.858916667,,3.813720766,0.73773784,,5.153,,7.906172377,,,
,,,,,,,,,,,,,,
平均值X,平均值Y,,平均绝对偏差X,平均绝对偏差Y,,SSX,SSY,,SP2,SE,,t,,
14.051125,22.01591667,,2.853114583,3.401152778,,291.3876686,529.2704118,,17.84039305,1.219302842,,6.532250554,,
,,,,,,,,,,,,,,
,,,,,,Sx,Sy,,,SE,,t-statistic,,
,,,,,,3.559357957,4.797057122,,,1.219302842,,6.532250557,,